filename,aphia_id,scientific_name,set_number,latitude,longitude,station_name,code
setNumber_002_catchCode_444__image.jpg,158988,Phycis chesteri,2,46.65793333333333,-58.82071333333333,415-P-19,444
setNumber_003_catchCode_272__image.jpg,10309,Myctophiformes (o.),115,46.766985,-58.91920833333333,415-P-1,271
setNumber_004_catchCode_461__image.jpg,126450,Enchelyopus cimbrius,116,46.71691333333333,-59.094883333333335,415-P-18,461
setNumber_005_catchCode_447__image.jpg,126504,Urophycis tenuis,5,46.79858,-59.400675,415-A-17,447
setNumber_005_catchCode_890__image.jpg,127136,Glyptocephalus cynoglossus,5,46.79858,-59.400675,415-A-17,890
setNumber_005_catchCode_8196__image.jpg,107205,Lithodes maja,5,46.79858,-59.400675,415-A-17,8196
setNumber_006_catchCode_320__image.jpg,126352,Arctozenus risso,6,46.95127,-59.46883666666667,415-P-14,320
setNumber_006_catchCode_27__image.jpg,105906,Centroscyllium fabricii,6,46.95127,-59.46883666666667,415-P-14,27
setNumber_006_catchCode_2080__image.jpg,135301,Cyanea capillata,6,46.95127,-59.46883666666667,415-P-14,2080
setNumber_006_catchCode_2096__image.jpg,135294,Periphylla periphylla,6,46.95127,-59.46883666666667,415-P-14,2096
setNumber_007_catchCode_320__image.jpg,126352,Arctozenus risso,7,46.97792,-59.806468333333335,416-P-2,320
setNumber_009_catchCode_811__image_WyBdXtF.jpg,127193,Artediellus atlanticus,9,47.179375,-60.23495666666667,417-P-1,811
setNumber_009_catchCode_792__image.jpg,126175,Sebastes sp.,9,47.179375,-60.23495666666667,417-P-1,792
setNumber_009_catchCode_2158__image.jpg,100817,Bolocera tuediae,9,47.179375,-60.23495666666667,417-P-1,2158
setNumber_010_catchCode_369__image_jXGz7Lz.jpg,126319,Serrivomer beanii,10,47.663466666666665,-60.060768333333336,415-P-8,369
setNumber_010_catchCode_8429__image.jpg,124020,Ceramaster granularis,10,47.663466666666665,-60.060768333333336,415-P-8,8429
setNumber_010_catchCode_8583__image.jpg,125125,Ophiopholis aculeata,10,47.663466666666665,-60.060768333333336,415-P-8,8583
setNumber_011_catchCode_461__image.jpg,126450,Enchelyopus cimbrius,11,47.586398333333335,-59.984365,415-P-7,461
setNumber_011_catchCode_320__image.jpg,126352,Arctozenus risso,11,47.586398333333335,-59.984365,415-P-7,320
setNumber_011_catchCode_8378__image.jpg,124404,Brisaster fragilis,11,47.586398333333335,-59.984365,415-P-7,8378
setNumber_011_catchCode_2224__image.jpg,135194,Flabellum (Ulocyathus) alabastrum,11,47.586398333333335,-59.984365,415-P-7,2224
setNumber_011_catchCode_8213__image.jpg,107315,Chionoecetes opilio,11,47.586398333333335,-59.984365,415-P-7,8213
setNumber_012_catchCode_792__image.jpg,126175,Sebastes sp.,12,47.413445,-59.71297166666667,415-P-9,792
setNumber_012_catchCode_892__image.jpg,127144,Reinhardtius hippoglossoides,12,47.413445,-59.71297166666667,415-P-9,892
setNumber_012_catchCode_890__image.jpg,127136,Glyptocephalus cynoglossus,12,47.413445,-59.71297166666667,415-P-9,890
setNumber_012_catchCode_320__image.jpg,126352,Arctozenus risso,12,47.413445,-59.71297166666667,415-P-9,320
setNumber_012_catchCode_856__image.jpg,159530,Paraliparis copei,12,47.413445,-59.71297166666667,415-P-9,856
setNumber_012_catchCode_3515__image.jpg,149,Buccinidae (f.),12,47.413445,-59.71297166666667,415-P-9,3515
setNumber_012_catchCode_8213__image.jpg,107315,Chionoecetes opilio,12,47.413445,-59.71297166666667,415-P-9,8213
setNumber_013_catchCode_893__image.jpg,127138,Hippoglossus hippoglossus,13,47.500998333333335,-59.445523333333334,305-P-4,893
setNumber_013_catchCode_792__image.jpg,126175,Sebastes sp.,13,47.500998333333335,-59.445523333333334,305-P-4,792
setNumber_013_catchCode_2207__image.jpg,593072,Liponema multicorne,13,47.500998333333335,-59.445523333333334,305-P-4,2207
setNumber_013_catchCode_1107__image.jpg,134200,Polymastia hemisphaerica,13,47.500998333333335,-59.445523333333334,305-P-4,1107
setNumber_013_catchCode_8429__image.jpg,124020,Ceramaster granularis,13,47.500998333333335,-59.445523333333334,305-P-4,8429
setNumber_013_catchCode_1101__image.jpg,558,Porifera,13,47.500998333333335,-59.445523333333334,305-P-4,1101
setNumber_014_catchCode_890__image.jpg,127136,Glyptocephalus cynoglossus,14,47.537182,-59.338732,304-P-1,890
setNumber_014_catchCode_8448__image.jpg,178261,Novodinia americana,14,47.537182,-59.338732,304-P-1,8448
setNumber_014_catchCode_8483__image.jpg,123276,Henricia sp.,14,47.537182,-59.338732,304-P-1,8483
setNumber_014_catchCode_6771__image.jpg,118827,Aega psora,14,47.537182,-59.338732,304-P-1,6771
setNumber_025_catchCode_8429__image.jpg,124020,Ceramaster granularis,25,47.231471666666664,-57.935495,306-P-2,8429
setNumber_025_catchCode_1101__image.jpg,558,Porifera,25,47.231471666666664,-57.935495,306-P-2,1101
setNumber_026_catchCode_449__image.jpg,158962,Merluccius bilinearis,26,47.512071666666664,-58.225606666666664,303-P-1,449
setNumber_026_catchCode_700__image.jpg,126758,Anarhichas lupus,26,47.512071666666664,-58.225606666666664,303-P-1,700
setNumber_027_catchCode_90__image.jpg,158554,Malacoraja senta,27,47.47163833333333,-57.97763,303-P-2,91
setNumber_028_catchCode_792__image.jpg,126175,Sebastes sp.,28,47.319786666666666,-57.894016666666666,306-P-1,792
setNumber_029_catchCode_150__image.jpg,126417,Clupea harengus,29,47.43922166666667,-57.80296833333333,306-P-3,150
setNumber_029_catchCode_890__image.jpg,127136,Glyptocephalus cynoglossus,29,47.43922166666667,-57.80296833333333,306-P-3,890
